cluster	men2012	women2012	paperN	label	men1990_2012	women1990_2012	men1989	women1989	men1900	women1900	men1901_1910	women1901_1910	men1911_1920	women1911_1920	men1921_1930	women1921_1930	men1931_1940	women1931_1940	men1941_1950	women1941_1950	men1951_1960	women1951_1960	men1961_1970	women1961_1970	men1971_1980	women1971_1980	men1981_1990	women1981_1990	men1991_2000	women1991_2000	men2001_2010	women2001_2010	men2011_2020	women2011_2020	men2010	women2010	firstM1901_1910	firstF1901_1910	firstM1911_1920	firstF1911_1920	firstM1921_1930	firstF1921_1930	firstM1931_1940	firstF1931_1940	firstM1941_1950	firstF1941_1950	firstM1951_1960	firstF1951_1960	firstM1961_1970	firstF1961_1970	firstM1971_1980	firstF1971_1980	firstM1981_1990	firstF1981_1990	firstM1991_2000	firstF1991_2000	firstM2001_2010	firstF2001_2010	firstM2011_2020	firstF2011_2020	lastM1901_1910	lastF1901_1910	lastM1911_1920	lastF1911_1920	lastM1921_1930	lastF1921_1930	lastM1931_1940	lastF1931_1940	lastM1941_1950	lastF1941_1950	lastM1951_1960	lastF1951_1960	lastM1961_1970	lastF1961_1970	lastM1971_1980	lastF1971_1980	lastM1981_1990	lastF1981_1990	lastM1991_2000	lastF1991_2000	lastM2001_2010	lastF2001_2010	firstM2012	firstF2012	lastM2012	lastF2012	firstM1900	firstF1900	lastM1900	lastF1900
1:01	60803	16971	67005	Plant ecology	42714	14208	18089	2763	127	5	144	16	245	33	314	51	677	73	650	74	1172	102	2294	212	4834	681	8674	1755	14837	4054	25848	9470	987	445	2608	1086	123	13	209	27	267	33	581	52	558	52	916	70	1544	121	2950	367	4567	962	6019	1858	7246	3235	206	139	11	2	18	6	32	15	79	20	85	22	216	25	605	78	1451	250	2969	526	5131	1107	7943	2121	25305	6934	18791	4253	119	5	7	0
1:10	5785	1153	6588	Mathematical ecology	3369	782	2416	371	7	0	5	1	20	1	67	12	82	18	97	20	169	16	362	45	661	96	1054	178	1549	277	1686	481	26	8	105	34	5	1	18	1	59	2	71	11	86	7	126	8	234	19	436	45	643	91	726	123	522	160	5	3	0	0	2	0	7	10	7	6	8	12	32	7	83	18	162	35	297	52	504	71	547	96	2938	471	1657	309	7	0	0	0
1:10:01	262	37	277	Optimal foraging	52	8	210	29	0	0	0	0	0	0	0	0	0	0	2	0	2	0	16	0	67	3	127	27	33	3	15	4	0	0	7	4	0	0	0	0	0	0	0	0	2	0	2	0	12	0	50	3	80	15	18	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	31	8	11	1	6	0	168	22	67	9	0	0	0	0
1:10:12	141	48	204	Disease ecology	110	37	31	11	0	0	0	0	2	0	0	0	2	0	4	3	1	0	0	1	2	1	23	7	47	7	60	29	0	0	1	2	0	0	2	0	0	0	2	0	4	0	1	0	0	1	1	1	7	2	14	2	12	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	7	2	19	4	21	2	43	15	48	11	0	0	0	0
1:10:02	308	44	324	Host-parasite dynamics	205	35	103	9	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	25	0	88	9	143	25	46	10	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	22	0	50	6	63	10	19	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	30	0	46	4	17	5	159	20	97	9	0	0	0	0
1:10:03	175	19	268	Population dynamics	133	15	42	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	14	4	31	1	79	9	41	4	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	10	1	19	1	44	6	15	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	8	0	23	2	13	0	91	12	50	4	0	0	0	0
1:10:06	191	66	242	Mimicry	100	49	91	17	0	0	0	0	0	0	0	0	0	0	1	2	5	0	20	5	37	6	28	4	39	17	60	32	1	0	3	1	0	0	0	0	0	0	0	0	1	0	4	0	12	1	21	4	17	2	19	10	25	9	1	0	0	0	0	0	0	0	0	0	0	1	1	0	6	3	7	2	10	1	11	3	25	13	100	26	60	23	0	0	0	0
1:10:08	257	59	269	Sex ratio and reproductive allocation	202	49	55	10	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	1	8	2	44	6	104	10	93	37	5	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	5	0	27	3	41	5	26	10	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	13	1	45	0	35	5	103	21	97	8	0	0	0	0
1:11	9594	1876	8172	Amphibian ecology	5133	1385	4461	491	20	2	21	3	39	7	56	11	167	21	288	16	607	40	928	59	1111	142	1389	222	1913	440	2986	880	69	33	221	82	18	3	38	6	55	9	149	16	235	9	478	26	649	28	756	82	809	116	934	222	994	332	18	5	3	0	1	1	1	2	17	4	50	5	112	14	207	26	292	49	410	84	641	121	984	217	5153	856	2739	533	20	2	0	0
1:11:01	4585	1002	3723	Growth and development	3002	823	1583	179	8	1	7	0	15	2	25	7	89	11	96	5	198	15	318	18	366	49	537	86	1037	240	1848	554	41	14	154	54	6	0	15	1	24	5	79	10	83	4	153	9	209	11	250	29	324	46	501	110	594	201	10	2	1	0	0	1	1	2	10	1	12	1	42	6	74	5	97	17	157	32	329	65	580	123	2256	429	1319	258	8	1	0	0
1:11:1:1	446	97	458	Maturation	225	55	221	42	1	0	0	0	0	0	1	0	5	0	4	0	6	4	22	1	52	11	157	29	140	36	58	16	0	0	0	0	0	0	0	0	1	0	4	0	4	0	5	4	19	1	34	8	103	15	80	23	29	9	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	17	2	42	11	48	9	22	4	280	60	134	26	1	0	0	0
1:11:1:2	819	274	421	Population declines	785	268	34	6	0	0	0	0	0	0	0	1	1	1	1	0	7	0	0	0	5	0	30	8	217	57	552	203	6	4	52	17	0	0	0	0	0	0	1	1	1	0	6	0	0	0	5	0	18	6	86	23	133	52	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	8	2	64	16	127	36	252	83	203	55	0	0	0	0
1:11:1:3	448	73	322	Consequences of predation	440	72	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	11	0	125	19	305	53	3	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	71	4	124	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	38	8	102	16	207	24	145	25	0	0	0	0
1:11:02	1904	319	1528	Salamander ecology	877	232	1027	87	7	0	9	3	8	1	16	3	42	4	92	2	127	9	213	8	248	22	306	40	361	92	466	132	9	3	24	11	8	3	8	1	16	3	35	4	72	1	110	7	141	3	173	11	174	25	178	48	150	58	4	0	1	0	0	0	0	0	6	0	20	1	17	2	52	5	64	8	86	12	128	26	170	37	1076	164	547	93	7	0	0	0
1:11:03	2079	418	2037	Mating ecology	949	259	1130	159	5	1	4	0	7	3	7	0	22	2	67	7	170	12	218	22	298	48	372	72	383	87	517	155	9	9	34	17	3	0	6	3	7	0	21	1	55	3	134	8	173	10	207	30	221	35	199	53	202	58	3	3	1	0	1	0	0	0	1	0	12	3	33	4	37	9	76	16	113	31	132	24	178	49	1236	205	586	138	5	1	0	0
1:11:04	747	82	638	Energetics and water loss	184	33	563	49	0	0	1	0	9	0	7	0	6	1	18	1	57	1	138	7	176	20	159	23	109	18	67	11	0	0	2	0	1	0	9	0	7	0	6	0	11	0	48	0	96	1	110	11	81	9	46	9	21	5	0	0	0	0	0	0	0	0	0	1	5	0	9	1	34	6	49	6	50	9	41	6	27	2	436	35	215	31	0	0	0	0
1:12	3758	1000	3689	Haplodiploid sociality	2456	768	1302	232	4	1	12	11	3	0	16	1	48	3	29	8	77	9	166	25	337	55	700	133	830	198	1517	545	19	11	113	52	12	11	3	0	15	1	30	3	28	7	58	4	116	12	235	29	417	70	384	96	474	195	4	4	0	0	0	0	1	0	5	0	1	1	12	5	37	11	80	21	209	40	279	51	488	119	1780	433	1119	249	4	1	0	0
1:12:01	1326	383	1403	Social evolution	823	274	503	109	2	1	4	10	0	0	4	0	6	0	6	5	20	3	55	11	162	25	271	62	288	79	498	178	10	9	39	23	4	10	0	0	4	0	5	0	5	5	15	2	42	6	108	15	164	33	131	34	163	77	2	3	0	0	0	0	0	0	1	0	1	0	3	1	9	3	42	9	86	17	103	24	163	41	645	186	410	96	2	1	0	0
1:12:02	895	194	758	Ant colonies	668	151	227	43	0	0	0	0	0	0	1	0	19	1	7	1	10	2	26	4	50	7	149	30	215	29	414	120	4	0	38	14	0	0	0	0	1	0	5	1	7	1	9	1	17	3	35	1	77	13	109	15	138	46	1	0	0	0	0	0	0	0	1	0	0	0	1	1	7	1	11	5	44	13	62	5	138	31	399	81	266	56	0	0	0	0
1:12:03	657	220	564	Social foraging	504	197	153	23	0	0	0	0	0	0	1	0	0	0	1	0	2	0	15	4	31	7	116	14	167	39	323	155	1	1	14	7	0	0	0	0	1	0	0	0	1	0	1	0	7	1	26	5	69	7	74	17	92	42	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	3	4	1	30	4	54	8	101	28	271	73	196	44	0	0	0	0
1:13	4026	1014	5059	Arthropods	1636	524	2390	490	18	1	27	3	4	0	29	2	83	19	102	30	244	58	542	94	636	117	777	185	851	242	712	263	1	0	54	17	23	3	4	0	25	1	66	7	81	15	175	31	377	54	374	63	425	94	379	114	240	101	0	0	2	0	0	0	4	1	16	12	16	14	64	17	137	25	191	35	241	45	293	68	249	66	2187	484	1214	283	18	1	0	0
1:13:01	634	141	729	Fiddler crabs	286	80	348	61	1	1	3	0	0	0	0	0	4	0	11	8	33	7	89	9	94	15	127	25	121	27	151	49	0	0	14	3	2	0	0	0	0	0	4	0	7	4	25	4	65	7	65	12	61	14	55	12	45	23	0	0	1	0	0	0	0	0	0	0	3	3	8	1	20	1	24	3	42	3	46	7	51	10	330	77	195	28	1	1	0	0
1:13:02	465	123	609	Insect metamorphosis	78	22	387	101	0	0	2	1	0	0	6	0	7	3	18	7	65	16	110	28	104	28	78	20	50	13	25	7	0	0	3	2	2	1	0	0	5	0	6	3	15	5	46	9	64	13	46	11	36	10	20	5	5	2	0	0	0	0	0	0	1	0	1	0	3	2	18	5	37	9	37	8	23	1	15	2	8	1	245	59	143	28	0	0	0	0
1:13:03	455	122	582	Hermit crabs	196	79	259	43	0	0	3	0	0	0	0	0	1	0	8	2	11	2	57	3	86	13	100	26	103	40	86	36	0	0	1	1	3	0	0	0	0	0	1	0	5	0	9	2	46	1	60	5	66	11	51	23	31	15	0	0	0	0	0	0	0	0	0	0	1	2	2	0	11	2	19	4	27	12	35	8	28	13	272	57	123	41	0	0	0	0
1:13:04	414	123	477	Crustacean molting	127	44	287	79	0	0	0	1	0	0	2	0	30	3	19	6	44	20	52	10	54	12	89	30	64	20	60	21	0	0	0	0	0	1	0	0	2	0	23	0	18	2	29	11	37	6	28	7	39	14	29	11	20	7	0	0	0	0	0	0	0	0	7	3	1	4	14	4	10	2	19	5	35	6	20	6	24	2	225	59	130	32	0	0	0	0
1:13:05	425	144	522	Osmotic regulation	193	88	232	56	2	0	0	0	0	0	10	0	6	1	1	1	18	6	56	13	52	12	97	26	112	46	71	39	0	0	5	1	0	0	0	0	10	0	6	1	0	1	14	4	41	9	30	6	53	12	52	22	26	12	0	0	0	0	0	0	0	0	0	0	1	0	2	1	13	2	14	4	29	9	35	17	21	10	234	67	115	43	2	0	0	0
1:14	3718	718	2846	Bats	1763	537	1955	181	19	0	7	0	8	0	19	1	94	8	91	5	276	17	512	36	490	44	482	76	602	166	1099	357	19	8	113	46	6	0	7	0	11	1	34	5	46	0	169	7	328	11	292	16	247	33	242	79	313	129	5	4	1	0	1	0	4	0	9	0	10	2	58	7	151	17	145	18	178	25	213	44	375	84	1719	285	1150	199	19	0	0	0
1:14:01	2141	424	1600	Bat ecophysiology	1117	335	1024	89	6	0	4	0	1	0	6	1	74	5	55	4	149	9	278	15	256	23	218	33	361	102	719	224	14	8	80	29	3	0	1	0	3	1	20	3	27	0	108	2	186	4	158	4	118	14	148	46	203	77	3	4	1	0	0	0	2	0	8	0	4	2	32	6	78	8	73	12	76	12	124	26	247	50	984	155	649	118	6	0	0	0
1:14:03	792	114	593	Taxonomic and tropic relationships	300	77	492	37	9	0	1	0	0	0	5	0	14	2	15	0	38	4	138	4	117	10	172	22	121	24	162	48	0	0	12	5	1	0	0	0	4	0	9	1	12	0	30	3	84	1	72	6	72	11	46	13	45	18	0	0	0	0	0	0	1	0	0	0	3	0	7	1	44	3	38	3	75	5	46	4	55	11	384	53	269	27	9	0	0	0
1:15	4211	719	3257	Climate change	3391	650	820	69	9	0	4	0	2	0	8	0	3	0	3	1	20	0	113	5	246	18	470	53	1041	165	2231	466	61	11	185	44	4	0	2	0	8	0	1	0	1	1	14	0	58	3	129	8	242	21	415	66	643	123	17	3	0	0	0	0	0	0	2	0	1	0	3	0	31	2	71	9	121	14	261	30	483	96	1543	225	984	152	9	0	0	0
1:15:01	1206	256	788	Millenium-scale climate change	1138	246	68	10	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	29	1	38	10	350	63	754	179	27	3	78	13	0	0	0	0	0	0	0	0	0	0	2	0	2	0	17	0	18	3	129	22	208	45	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	8	3	84	9	159	34	386	70	261	48	2	0	0	0
1:15:02	510	96	434	Long-term climate change	347	84	163	12	1	0	0	0	2	0	0	0	0	0	0	0	4	0	39	2	43	4	78	6	156	29	179	52	8	3	18	7	0	0	2	0	0	0	0	0	0	0	4	0	20	1	20	2	41	4	53	15	52	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13	1	15	1	21	0	41	3	43	12	194	35	135	17	1	0	0	0
1:15:03	480	62	497	Anthropogenic climate change	229	43	251	19	1	0	0	0	0	0	0	0	1	0	0	0	1	0	22	1	75	6	160	16	124	15	94	22	2	2	5	4	0	0	0	0	0	0	0	0	0	0	1	0	17	1	45	3	93	8	66	5	38	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	19	3	32	4	37	5	32	7	263	21	125	19	1	0	0	0
1:15:05	701	117	423	Climate forcing	680	117	21	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	16	0	81	13	589	104	8	0	53	16	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	8	0	41	5	184	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	14	5	117	28	241	34	140	33	1	0	0	0
1:16	4503	449	3933	Ichthyology	1826	295	2677	154	36	0	25	3	40	0	49	0	154	9	172	7	328	13	520	24	634	39	781	72	763	104	967	168	34	10	83	17	25	3	40	0	46	0	129	7	137	4	239	7	358	10	398	17	442	33	366	42	350	66	11	5	0	0	0	0	3	0	24	1	28	2	79	6	139	12	184	17	250	25	262	39	339	31	2575	194	1321	135	34	0	2	0
1:16:01	1421	97	1022	North American freshwater fish	578	69	843	28	13	0	8	1	13	0	8	0	37	1	44	0	110	3	145	3	216	6	270	17	253	23	296	39	8	4	25	3	8	1	13	0	8	0	29	1	33	0	80	1	100	0	130	2	144	7	108	13	102	18	1	2	0	0	0	0	0	0	7	0	10	0	27	2	36	2	67	4	92	7	90	4	108	3	767	45	442	22	11	0	2	0
1:16:02	794	97	625	Central American freshwater fish	322	61	472	36	1	0	3	0	4	0	12	0	21	1	25	1	64	6	88	3	107	10	158	19	156	21	150	34	5	2	17	5	3	0	4	0	10	0	19	1	19	1	45	3	58	1	64	4	80	9	67	7	45	13	3	0	0	0	0	0	2	0	2	0	5	0	16	3	27	2	36	3	55	5	51	8	55	6	418	39	250	28	1	0	0	0
1:16:03	846	75	800	Other fish	530	68	316	7	6	0	1	0	12	0	8	0	16	1	17	0	14	0	42	1	85	0	140	10	186	21	303	39	16	3	20	4	1	0	12	0	8	0	16	1	15	0	11	0	28	1	60	0	98	4	105	7	128	11	7	2	0	0	0	0	0	0	0	0	2	0	2	0	13	0	21	0	33	5	66	12	105	11	495	26	247	29	6	0	0	0
1:17	2114	543	2233	Spiders	1240	421	874	122	10	0	14	1	4	0	2	0	17	1	8	2	32	3	92	7	248	32	503	91	518	137	658	265	8	4	72	31	13	1	4	0	2	0	11	0	8	0	27	1	72	2	192	21	324	59	279	76	286	92	3	1	1	0	0	0	0	0	4	0	0	2	4	2	15	4	47	9	145	26	164	36	218	89	1231	253	599	170	10	0	0	0
1:18	1615	494	2267	Lichens and bryophytes	847	325	768	169	8	1	14	0	30	0	5	5	16	7	29	3	77	3	128	14	265	60	214	91	351	108	477	199	1	3	48	20	14	0	30	0	4	5	14	6	28	3	67	3	97	8	168	38	127	50	172	39	179	69	0	2	0	0	0	0	1	0	2	1	1	0	8	0	28	6	83	18	70	31	115	32	147	63	908	224	455	152	8	1	0	0
1:18:01	895	199	1159	Lichens	470	128	425	71	6	1	13	0	26	0	1	2	10	6	18	0	59	2	91	10	125	21	83	36	211	35	252	86	0	0	25	7	13	0	26	0	1	2	9	5	17	0	54	2	72	6	85	13	60	17	112	10	106	28	0	0	0	0	0	0	0	0	1	1	1	0	5	0	17	4	34	8	19	15	67	14	66	32	561	84	210	74	6	1	0	0
1:18:02	399	174	520	Bryophytes	226	122	173	52	0	0	0	0	0	0	3	2	3	0	8	2	10	0	17	4	70	20	66	29	79	43	143	72	0	2	11	3	0	0	0	0	2	2	3	0	8	2	6	0	14	2	46	14	35	16	34	18	45	30	0	2	0	0	0	0	1	0	0	0	0	0	2	0	3	2	22	2	26	10	25	11	58	17	193	86	137	42	0	0	0	0
1:19	1020	255	1689	Ferns	226	82	794	173	17	1	6	6	24	7	42	9	80	22	65	14	91	13	136	25	187	36	163	45	89	32	117	40	3	5	11	3	6	6	23	7	38	7	71	20	63	11	77	10	106	18	122	20	107	25	56	17	57	17	1	1	0	0	1	0	4	2	9	2	2	3	13	3	26	6	55	12	39	16	27	7	38	11	742	160	218	63	15	1	2	0
1:01:01	52571	14059	57155	Plant community ecology	37093	11825	15478	2234	96	3	110	14	221	24	279	46	574	59	596	67	1055	87	2024	185	4152	562	7222	1367	12913	3387	22511	7899	818	359	2318	920	105	11	189	19	235	30	493	42	514	46	833	61	1359	106	2549	294	3811	732	5223	1532	6324	2701	173	115	4	2	14	5	29	13	69	16	76	21	193	20	541	69	1246	214	2451	422	4416	920	6915	1791	21901	5692	16171	3559	93	3	3	0
1:1:1:1	2141	927	1608	Plant invasions	2068	922	73	5	2	0	0	0	2	0	1	0	1	0	5	0	3	0	4	0	11	2	57	4	288	77	1683	798	84	46	162	103	0	0	2	0	1	0	1	0	4	0	3	0	3	0	10	2	28	3	117	36	511	301	19	21	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	20	1	97	19	556	201	701	363	702	227	2	0	0	0
1:1:1:10	40	11	224	Plant nutrient ecology	11	9	29	2	0	0	0	0	2	0	0	1	0	0	0	1	3	0	0	0	12	0	14	0	6	5	3	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	9	0	6	0	1	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	5	0	4	0	1	0	23	7	13	1	0	0	0	0
1:1:1:109	239	76	236	Rainforest canopy	216	72	23	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	9	0	16	5	73	21	129	45	10	5	6	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	10	1	39	7	44	22	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	3	23	9	42	10	101	32	76	24	0	0	0	0
1:1:1:11	419	160	638	Clonal plant ecology	321	131	98	29	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	20	1	82	33	176	69	137	57	0	0	8	7	0	0	0	0	0	0	1	0	0	0	2	0	1	0	12	1	42	25	74	47	39	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	32	7	78	13	52	18	171	94	169	38	0	0	0	0
1:1:1:12	1227	404	705	Nitrogen cycle	1136	393	91	11	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	16	1	79	10	354	68	775	325	1	0	38	13	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	1	33	4	107	24	172	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	30	2	96	19	201	60	325	116	333	81	0	0	0	0
1:1:1:13	646	164	631	Leaf physiology	593	161	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	0	47	2	171	32	402	120	15	9	62	24	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	24	1	66	8	98	45	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	15	0	62	8	132	21	198	57	218	30	0	0	0	0
1:1:1:136	253	24	270	Weed control	241	24	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	77	2	160	22	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	22	1	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	39	1	70	3	62	5	118	4	0	0	0	0
1:1:1:139	96	0	216	Woody plant control	13	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	6	0	73	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	4	0	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	34	0	4	0	0	0	47	0	44	0	0	0	0	0
1:1:1:14	184	14	223	Succession and nutrient budgets	39	6	145	8	0	0	0	0	0	0	0	0	0	0	1	0	3	0	21	1	90	1	37	6	23	6	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	12	1	48	1	15	3	7	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	27	0	13	2	11	0	3	0	88	9	61	2	0	0	0	0
1:1:1:15	1183	322	851	Response to elevated CO2	1085	295	98	27	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	1	91	29	399	69	676	222	2	1	42	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	34	15	123	23	153	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	38	5	117	17	175	26	318	97	337	48	0	0	0	0
1:1:1:152	182	10	215	Livestock grazing 	118	7	64	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	10	0	57	3	57	0	50	6	3	1	11	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	23	1	23	0	13	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	28	2	28	0	23	1	68	3	86	3	0	0	0	0
1:1:1:16	149	158	291	Investment in seed size	86	113	63	45	0	0	0	0	0	0	0	0	1	0	1	0	1	0	10	0	20	6	33	42	52	52	31	58	0	0	4	2	0	0	0	0	0	0	1	0	1	0	1	0	6	0	15	4	21	30	22	34	4	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	2	9	11	26	13	14	15	71	90	57	41	0	0	0	0
1:1:1:17	289	95	369	Rainforest nutrient ecology	172	75	117	20	0	0	0	0	0	0	0	0	0	0	0	0	4	1	12	0	36	6	75	19	104	25	56	42	2	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	10	0	21	3	38	10	41	8	18	14	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	10	1	25	7	31	6	14	10	131	36	84	25	0	0	0	0
1:1:1:18	585	205	817	Bog ecology	486	183	99	22	2	0	0	0	0	0	3	0	0	0	6	1	3	1	11	5	6	5	79	14	156	55	311	117	8	7	24	12	0	0	0	0	3	0	0	0	4	1	3	1	9	3	5	3	42	6	65	23	75	40	1	3	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	2	21	7	46	17	88	21	209	80	162	50	2	0	0	0
1:1:1:19	622	186	557	Abiotic stress	523	178	99	8	0	0	0	0	1	0	3	0	7	0	0	0	5	0	16	0	20	0	48	8	147	37	359	135	16	6	36	13	0	0	1	0	3	0	5	0	0	0	3	0	8	0	11	0	28	7	56	20	124	58	4	3	0	0	0	0	0	0	2	0	0	0	2	0	5	0	5	0	16	0	57	11	121	27	243	88	213	38	0	0	0	0
1:1:1:2	681	212	734	Tropical forest dynamics	561	166	120	46	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	14	1	119	49	268	60	269	98	8	4	18	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	11	1	65	22	118	28	86	25	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	36	16	81	21	81	24	284	78	205	61	0	0	0	0
1:1:1:20	229	38	272	Decomposition	105	25	124	13	0	0	0	0	1	0	4	1	3	0	3	0	7	1	24	4	19	3	66	4	56	7	46	18	0	0	2	0	0	0	1	0	3	0	3	0	3	0	7	1	21	0	12	3	26	1	20	2	12	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	4	5	0	27	2	22	1	13	5	108	12	71	12	0	0	0	0
1:1:1:21	544	179	453	Plant demography	485	170	59	9	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	18	3	44	6	158	54	314	110	4	5	19	6	0	1	0	0	0	0	0	0	1	0	0	0	3	0	13	1	23	5	56	35	83	48	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	14	0	59	9	122	27	181	91	200	39	0	0	0	0
1:1:1:22	439	125	497	Chaparral	238	102	201	23	0	0	0	0	0	0	3	1	1	0	4	2	5	1	29	0	67	4	95	17	76	35	157	65	2	0	15	9	0	0	0	0	3	1	1	0	3	2	2	1	19	0	37	1	51	8	36	18	49	27	0	0	0	0	0	0	0	0	0	0	1	0	3	0	9	0	24	3	34	5	28	10	57	14	201	58	156	32	0	0	0	0
1:1:1:23	647	116	506	Prairie	475	102	172	14	0	0	0	0	0	0	0	0	2	1	8	0	11	0	35	3	39	3	88	7	188	23	258	75	18	4	34	6	0	0	0	0	0	0	1	1	5	0	9	0	21	2	20	2	56	2	73	8	71	27	5	2	0	0	0	0	0	0	1	0	3	0	2	0	13	1	17	0	25	4	66	8	84	19	261	44	217	33	0	0	0	0
1:1:1:24	212	116	426	Seedbanks	162	80	50	36	0	0	0	0	1	2	1	3	2	6	3	3	1	2	5	2	15	7	26	14	55	26	102	48	1	3	12	4	0	0	1	1	1	2	2	3	2	2	1	2	4	0	13	4	14	10	21	14	24	17	0	1	0	0	0	1	0	1	0	3	1	1	0	0	1	2	2	1	11	3	26	8	39	19	83	56	80	39	0	0	0	0
1:1:1:26	192	40	246	Seedling interference competition	110	28	82	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	76	13	63	18	40	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	47	6	28	7	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	21	7	22	6	14	2	99	16	61	15	0	0	0	0
1:1:1:27	153	41	212	Reproductive effort 	26	8	127	33	0	0	0	0	0	0	0	0	0	2	1	0	1	0	11	1	46	6	72	24	18	8	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	9	1	31	3	39	9	5	6	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	12	2	25	7	10	2	0	0	90	20	49	12	0	0	0	0
1:1:1:28	395	104	332	Long-range seed dispersal	355	93	40	11	1	0	0	0	3	0	0	0	0	1	0	0	2	0	3	1	7	1	26	11	94	21	243	66	16	3	14	4	0	0	3	0	0	0	0	1	0	0	1	0	2	0	5	1	14	6	35	10	65	22	4	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	12	3	31	9	80	13	130	41	133	26	1	0	0	0
